SITENAME,BCF-Sector,Solution Type,Site Type,Blended Congestion,Lat,Lon,Town,Province,ACL,Azimuth,Beam Width,Length
BRGY19POBBUTUANADN,BRGY19POBBUTUANADN-2,MACRO,MACRO,GREEN,8.95405,125.552421,AGUSAN DEL NORTE,BUTUAN CITY (CAPITAL),30,75,40,200
BRGY19POBBUTUANADN,BRGY19POBBUTUANADN-3,MACRO,MACRO,GREEN,8.95405,125.552421,AGUSAN DEL NORTE,BUTUAN CITY (CAPITAL),30,175,40,200
BUAYAG,BUAYAG-1,MACRO,MACRO,GREEN,6.1205,125.226753,SOUTH COTABATO,GENERAL SANTOS CITY,37,300,40,200
BUNGAVISVILTAGUMDDN,BUNGAVISVILTAGUMDDN-1,MACRO,MACRO,GREEN,7.433285,125.787515,DAVAO DEL NORTE,TAGUM CITY (CAPITAL),29,60,40,200
CAWITZAMBOAZDS,CAWITZAMBOAZDS-1,MACRO,MACRO,GREEN,6.962922,121.971688,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,29,80,40,200
CENTERTOPKNADALSCOT,CENTERTOPKNADALSCOT-3,MACRO,MACRO,GREEN,6.49025,124.932,SOUTH COTABATO,KORONADAL CITY (CAPITAL),33,200,40,200
COGBALINGMOR,COGBALINGMOR-2,MACRO,MACRO,GREEN,8.74953,124.778,MISAMIS ORIENTAL,BALINGASAG,29,150,40,200
DAOPGDIANZDS,DAOPGDIANZDS-1,MACRO,MACRO,GREEN,7.855975,123.43029,ZAMBOANGA DEL SUR,PAGADIAN CITY (CAPITAL),39,350,40,200
GANSINGTACUROSKUD,GANSINGTACUROSKUD-3,MACRO,MACRO,GREEN,6.70175,124.673,SULTAN KUDARAT,TACURONG CITY,30,200,40,200
LAMBA,LAMBA-1,MACRO,MACRO,GREEN,8.262354,124.270149,LANAO DEL NORTE,ILIGAN CITY,22,330,40,200
LBERTADTOPKNADALSCOT,LBERTADTOPKNADALSCOT-2,MACRO,MACRO,GREEN,6.476551,124.944856,SOUTH COTABATO,KORONADAL CITY (CAPITAL),30,295,40,200
LBERTADTOPKNADALSCOT,LBERTADTOPKNADALSCOT-3,MACRO,MACRO,GREEN,6.476551,124.944856,SOUTH COTABATO,KORONADAL CITY (CAPITAL),30,310,40,200
MAGSAYSAYNABUNCVLY,MAGSAYSAYNABUNCVLY-2,MACRO,MACRO,GREEN,7.62512,125.973,DAVAO DE ORO,NABUNTURAN (CAPITAL),30,140,40,200
MALADTAGAKNDAVAODDS,MALADTAGAKNDAVAODDS-2,MACRO,MACRO,GREEN,7.126054,125.4282,DAVAO DEL SUR,DAVAO CITY,24,75,40,200
ORCHSANTIAGILIGANLDN,ORCHSANTIAGILIGANLDN-1,MACRO,MACRO,GREEN,8.252353,124.247971,LANAO DEL NORTE,ILIGAN CITY,29,340,40,200
P16POBNABUNCVLY,P16POBNABUNCVLY-3,MACRO,MACRO,GREEN,7.60139,125.961,DAVAO DE ORO,NABUNTURAN (CAPITAL),46,210,40,200
P2KM3BAANBUTUANAGN,P2KM3BAANBUTUANAGN-2,MACRO,MACRO,GREEN,8.947356,125.566239,AGUSAN DEL NORTE,BUTUAN CITY (CAPITAL),39,80,40,200
P3ACANOCOTAGUMDDN,P3ACANOCOTAGUMDDN-3,MACRO,MACRO,GREEN,7.420586,125.777131,DAVAO DEL NORTE,TAGUM CITY (CAPITAL),27,310,40,200
